356060330,颜色分类:010 Black黑白提花;尺码:175/92A/XL,钟***座,299400325824,透明度：两个颜色都买了，因为喜欢长款的，个人觉得黑色挺耐看的，不错哦，料子也可以，穿着挺舒服的，就希望不要太起球，按平时码买的，不过我觉得这款其实买小一码穿应该更好看。,2017-01-18 12:42:20,3,0
356060330,颜色分类:98A CHECK HOUNDSTOOTH红蓝犬牙花纹;尺码:160/80A/S,t***0,299410317421,真的好喜欢，穿上美美的！平时M号，这款S刚好,2017-01-16 12:52:49,3,1
356060330,颜色分类:98A CHECK HOUNDSTOOTH红蓝犬牙花纹;尺码:175/92A/XL,钟***座,299400325825,透明度：两个颜色都买了，因为喜欢长款的，料子也可以，穿着挺舒服的，就希望不要太起球，按平时码买的，不过我觉得这款其实买小一码穿应该更好看。,2017-01-18 12:42:20,3,0
356060330,颜色分类:98A CHECK HOUNDSTOOTH红蓝犬牙花纹;尺码:165/84A/M,邝***仔,299421660994,超级快，昨晚拍的今天就收到，跟图片无色差，厚实软棉，真的是宽松款！可以买小一个码,2017-01-15 21:29:18,3,0
356060330,颜色分类:98A CHECK HOUNDSTOOTH红蓝犬牙花纹;尺码:170/88A/L,c***8,298733418125,衣服很好看很喜欢，先脸色很白，我身高167重130斤，穿的L宽松不显胖，长度到膝盖！做个参考吧！,2017-01-10 20:11:10,0,1
356060330,颜色分类:98A CHECK HOUNDSTOOTH红蓝犬牙花纹;尺码:165/84A/M,h***7,298487255390,说换货不用申请，东西3号已经寄回，每次都是拖着，也不寄回来，非要买家催，上次退货也是，恶心死了，这就是店大不怕卖不出去，他女马恶心死，并且这些店根本就是有淘宝罩着，想向小二投诉，根本没门，不问理由，就是买家问题，垃圾，,2017-01-09 00:33:03,2,1
356060330,颜色分类:98A CHECK HOUNDSTOOTH红蓝犬牙花纹;尺码:160/80A/S,漂***z,299397398254,很喜欢的毛衣，就是冬天穿有点薄啊。穿了一阵子了，袖口确实起球，还可以接受吧，剃毛器试试,2017-01-18 17:38:06,0,0
356060330,颜色分类:98A CHECK HOUNDSTOOTH红蓝犬牙花纹;尺码:165/84A/M,m***a,298723170588,上次买了xl的给妈妈，她80kg穿上比较宽松还可以遮住大肚子，然后自己又拍了一件m的，本人60kg，穿上也比较宽松，准备过年就穿这个亲子装了，给大家点建议,2017-01-12 12:55:21,0,0
356060330,颜色分类:98A CHECK HOUNDSTOOTH红蓝犬牙花纹;尺码:155/76A/XS,我***茸,298113378247,非常好看，冬季穿着很靓，属于宽松版，平常穿M码，这次选S码都大，同城，用顺丰邮寄。但是，容易起球，影响整体效果?,2017-01-07 00:02:52,2,1
356060330,颜色分类:010 Black黑白提花;尺码:160/80A/S,t***8,299121585198,质量很好，很满意，搭配衣服很漂亮。顺风快递快态度好！,2017-01-14 17:50:32,3,1
356060330,颜色分类:98A CHECK HOUNDSTOOTH红蓝犬牙花纹;尺码:155/76A/XS,韵***人,299102692878,实物和图片一样好看 厚实 穿着暖和,2017-01-15 10:21:13,0,0
356060330,颜色分类:010 Black黑白提花;尺码:165/84A/M,t***6,299181117525,不是很亲肤的面料，穿上感觉还可以,2017-01-14 14:57:41,4,0
356060330,颜色分类:98A CHECK HOUNDSTOOTH红蓝犬牙花纹;尺码:160/80A/S,e***3,299247442804,期待了很久！好评！虽然买了小码，因是宽松版型，还是有点大。不过穿着很舒服！,2017-01-17 13:54:49,0,0
356060330,颜色分类:98A CHECK HOUNDSTOOTH红蓝犬牙花纹;尺码:160/80A/S,我***1,298532678108,忘记收货了，都穿了一天了，还不错，很显年轻，那天在实体店试的时候还看不到效果，因为没有小码一直在想要不要买，要不要买，然后安慰自己反正快过年了，买吧！！????太会安慰自己了，???,2017-01-11 13:01:23,0,0
356060330,颜色分类:98A CHECK HOUNDSTOOTH红蓝犬牙花纹;尺码:160/80A/S,方***珠,298802929292,衣服是挺好看，但是质量真的一般，一摸就是那种会起球的那种，还好洗了下并不褪色，性价比不是很好，三分吧,2017-01-12 09:31:04,3,0
356060330,颜色分类:010 Black黑白提花;尺码:160/80A/S,d***3,298880567366,质地不错，不是纯化纤，单穿应该没问题，打底略长，在专柜试过，不会比红蓝那款差，红蓝那款穿不出摇滚范反而没意思,2017-01-12 14:22:48,0,0
356060330,颜色分类:98A CHECK HOUNDSTOOTH红蓝犬牙花纹;尺码:160/80A/S,蛋***7,298393901000,款很大，买小了一码，穿着还是很肥。但款式比较好看，起球很严重！！质量和做工一般，有些地方看起来都要开线了。买only 主要还是看中了款式，希望商家能多注重衣服的质量，毕竟实用才是最重要的。,2017-01-06 18:54:19,3,0
356060330,颜色分类:010 Black黑白提花;尺码:165/84A/M,t***5,299748576098,很喜欢only的衣服，邮政也出奇的快，所以说要把希望盼的小小的，才不会失望,2017-01-18 17:01:17,4,0
356060330,颜色分类:98A CHECK HOUNDSTOOTH红蓝犬牙花纹;尺码:170/88A/L,g***1,299485728719,颜色不错，宽松款式，不太好套衣服,2017-01-16 22:29:12,3,0
356060330,颜色分类:98A CHECK HOUNDSTOOTH红蓝犬牙花纹;尺码:175/92A/XL,c***6,299128281895,两个颜色都买了，不算特别显瘦但是颜色都是我喜欢的，比较满意，料子也不薄！有型！,2017-01-13 17:13:00,0,0
356060330,颜色分类:98A CHECK HOUNDSTOOTH红蓝犬牙花纹;尺码:170/88A/L,怡***5,299827408808,衣服好看，很宽松，比平常穿的要小两个码合适。快递好快啊，发的原来是同城的货啊。棒棒的。孩子也喜欢。穿上不脱，就是太大了，要我重买一个给她，呵呵,2017-01-20 11:21:25,0,0
356060330,颜色分类:98A CHECK HOUNDSTOOTH红蓝犬牙花纹;尺码:155/76A/XS,郑***0,291684491369,色差：没有色差，颜色很正，迫不及待穿上了 服务很好，很喜欢。,2016-11-14 15:47:56,4,0
356060330,颜色分类:010 Black黑白提花;尺码:175/92A/XL,c***6,297646330475,这件忍不住评价一下，好看的黑白千鸟格，为什么那么多人买蓝色，黑白很经典啊！而且最重要的是，我这件用了闺密券，花了不到二百块钱，太值了！之前大衣原价买了好几件，那几百几千块的亏啊亏，这家的东西一定要忍到打折，一打折就是大手笔半价吧！面料不知道，起不起球毛衣就是这个样，肯定会有点起球，也没什么，重点是好看就好，谁也不是就一直穿一件衣服，换着穿吧！,2016-12-31 18:22:05,4,2
356060330,颜色分类:98A CHECK HOUNDSTOOTH红蓝犬牙花纹;尺码:155/76A/XS,我***茸,298113378247,非常好看，冬季穿着很靓，属于宽松版，平常穿M码，这次选S码都大，同城，用顺丰邮寄。但是，容易起球，影响整体效果?,2017-01-07 00:02:52,2,1
356060330,颜色分类:010 Black黑白提花;尺码:160/80A/S,y***o,296293218135,<b></b>五<b></b>折<b></b>买<b></b>了<b></b>两<b></b>件<b></b>衣<b></b>服<b></b>。<b></b>收<b></b>到<b></b>货<b></b>之<b></b>后<b></b>心<b></b>有<b></b>些<b></b>忐<b></b>忑<b></b>，<b></b>看<b></b>到<b></b>之<b></b>前<b></b>评<b></b>价<b></b>说<b></b>有<b></b>掉<b></b>线<b></b>起<b></b>毛<b></b>，<b></b>打<b></b>开<b></b>验<b></b>货<b></b>之<b></b>后<b></b>这<b></b>些<b></b>问<b></b>题<b></b>都<b></b>没<b></b>有<b></b>，<b></b>但<b></b>之<b></b>前<b></b>在<b></b>专<b></b>柜<b></b>买<b></b>了<b></b>这<b></b>款<b></b>的<b></b>蓝<b></b>红<b></b>色<b></b>，<b></b>对<b></b>比<b></b>之<b></b>后<b></b>觉<b></b>得<b></b>网<b></b>上<b></b>这<b></b>件<b></b>同<b></b>款<b></b>黑<b></b>白<b></b>色<b></b>的<b></b>比<b></b>专<b></b>柜<b></b>买<b></b>的<b></b>薄<b></b>，<b></b>希<b></b>望<b></b>穿<b></b>过<b></b>几<b></b>次<b></b>之<b></b>后<b></b>不<b></b>会<b></b>起<b></b>毛<b></b>吧<b></b>！<b></b>习<b></b>惯<b></b>好<b></b>评<b></b>先<b></b>～<b></b>～<b></b>,2016-12-20 10:16:10,3,0
356060330,颜色分类:98A CHECK HOUNDSTOOTH红蓝犬牙花纹;尺码:160/80A/S,蛋***7,298393901000,款很大，买小了一码，穿着还是很肥。但款式比较好看，起球很严重！！质量和做工一般，有些地方看起来都要开线了。买only 主要还是看中了款式，希望商家能多注重衣服的质量，毕竟实用才是最重要的。,2017-01-06 18:54:19,3,0
356060330,颜色分类:98A CHECK HOUNDSTOOTH红蓝犬牙花纹;尺码:175/92A/XL,屁***曦,296201553120,衣服应该是专柜试穿过的，嘴唇亮片都掉了，自己拿针缝的，如果不是没有号码了真想换一件。上个月在only专柜买羽绒服的时候差点买了这件毛衣，当时没有活动，不便宜，过了一个月降了两百多，虽然是清仓但估计上个月买过的人心里应该不舒服吧，与其清仓还不如起初定价就低点，这样买的人多，心里落差也不会太大，如果是我上个月买完的衣服这个月就降价差不多一半的话，那这个牌子的衣服我是不会再考虑了。,2016-12-18 22:34:27,3,0
356060330,颜色分类:98A CHECK HOUNDSTOOTH红蓝犬牙花纹;尺码:160/80A/S,奥***g,297238053863,穿了两天来评价的，没有起球，很软很舒服。衣服确实很宽松，身高166，体重54，买的s号，肩宽袖长都刚刚好，下摆到膝盖上方10cm的样子吧，给大家做个参考。,2016-12-30 10:45:11,3,0
356060330,颜色分类:98A CHECK HOUNDSTOOTH红蓝犬牙花纹;尺码:160/80A/S,胖***紧,297950554702,每次买only家衣服，都要刷新一下我的衣服尺寸，170，120斤这次买的S码穿着有点宽松的感觉，刚刚好，M已经不敢买了，会大很多,2017-01-03 20:40:18,3,1
356060330,颜色分类:98A CHECK HOUNDSTOOTH红蓝犬牙花纹;尺码:165/84A/M,h***7,298487255390,说换货不用申请，东西3号已经寄回，每次都是拖着，也不寄回来，非要买家催，上次退货也是，恶心死了，这就是店大不怕卖不出去，他女马恶心死，并且这些店根本就是有淘宝罩着，想向小二投诉，根本没门，不问理由，就是买家问题，垃圾，,2017-01-09 00:33:03,2,1
356060330,颜色分类:98A CHECK HOUNDSTOOTH红蓝犬牙花纹;尺码:175/92A/XL,后***阳,297270628008,很喜欢，穿起来比较显瘦，颜色也靓丽，只是买了四件衣服分三个包裹发货，比较不方便,2016-12-28 14:06:50,0,1
356060330,颜色分类:98A CHECK HOUNDSTOOTH红蓝犬牙花纹;尺码:175/92A/XL,小***儿,291879526508,双十一买的，发的顺丰，很快就到货了！衣服还可以，比较柔软，挺肥的，样子好看，前面的亮片是用透明细线缝上的，不仔细看不出来，应该不会容易掉。起不起球要等穿了之后再追评吧！,2016-11-14 13:26:44,3,2
356060330,颜色分类:98A CHECK HOUNDSTOOTH红蓝犬牙花纹;尺码:160/80A/S,阿***仔,293293579182,没想象中厚实，感觉领子很容易变形，有点长，166到膝盖，可能我腿短，哈哈哈，不过还是蛮喜欢的~双十一买的也很划算！,2016-11-25 21:38:27,0,0
356060330,颜色分类:98A CHECK HOUNDSTOOTH红蓝犬牙花纹;尺码:155/76A/XS,t***2,293690127497,花纹和颜色确实很漂亮，衬得肤色很好，长度偏长且稍显肥，不过孕妈妈穿效果已经算很不错了，打折买很划算哦,2016-11-29 21:22:44,3,0
356060330,颜色分类:98A CHECK HOUNDSTOOTH红蓝犬牙花纹;尺码:165/84A/M,m***a,298723170588,上次买了xl的给妈妈，她80kg穿上比较宽松还可以遮住大肚子，然后自己又拍了一件m的，本人60kg，穿上也比较宽松，准备过年就穿这个亲子装了，给大家点建议,2017-01-12 12:55:21,0,0
356060330,颜色分类:98A CHECK HOUNDSTOOTH红蓝犬牙花纹;尺码:155/76A/XS,恩***2,297957988335,挺好的，颜色也很显肤色，还是蛮大的，这款是宽松的款式,2017-01-03 21:57:14,0,1
356060330,颜色分类:98A CHECK HOUNDSTOOTH红蓝犬牙花纹;尺码:170/88A/L,抚***店,297860126245,不错不错，我身高181，穿着170的到膝盖上面！质量也不错，挺好的,2017-01-03 09:07:58,3,1
356060330,颜色分类:98A CHECK HOUNDSTOOTH红蓝犬牙花纹;尺码:160/80A/S,x***1,296231879506,还不错，颜色靓丽。属非常宽松的版型。我172. 55kg选的S。长度到膝盖上面一点。,2016-12-19 10:16:19,3,1
356060330,颜色分类:98A CHECK HOUNDSTOOTH红蓝犬牙花纹;尺码:165/84A/M,戈***4,293956349352,买大了又换号 来回二十天才收到 只能说这个价钱的话质量一般略贵 还没穿 不知道会不会像大家一样起球,2016-11-29 17:41:32,2,0
356060330,颜色分类:010 Black黑白提花;尺码:160/80A/S,弦***蓝,295998526706,没买的时候很想买，到手后觉得没有想象那么好，长，不够厚，不够软，赢在款式ok！一定要买小一码，不然宽了，还怕洗后变形。,2016-12-17 21:08:56,3,0
356060330,颜色分类:98A CHECK HOUNDSTOOTH红蓝犬牙花纹;尺码:160/80A/S,t***0,299410317421,真的好喜欢，穿上美美的！平时M号，这款S刚好,2017-01-16 12:52:49,3,1
356060330,颜色分类:98A CHECK HOUNDSTOOTH红蓝犬牙花纹;尺码:160/80A/S,小***8,296495944171,肥款的衣服，穿上以后特别不好看，还不怎么保暖，163，54公斤穿s的还大，失败的一次购物，凑单买的，也懒得退了,2016-12-21 21:16:58,3,0
356060330,颜色分类:98A CHECK HOUNDSTOOTH红蓝犬牙花纹;尺码:155/76A/XS,粘***哥,298291261631,非常不满意，正常洗涤，只穿了一次，起毛球非常严重，性价比超级低！！慎买！！！,2017-01-06 17:47:47,2,0
356060330,颜色分类:010 Black黑白提花;尺码:170/88A/L,t***3,297821390153,在实体店试了以后买的，东西跟实体店的一模一样，不错的必须好评。,2017-01-02 22:01:14,1,1
356060330,颜色分类:98A CHECK HOUNDSTOOTH红蓝犬牙花纹;尺码:175/92A/XL,钟***座,299400325825,透明度：两个颜色都买了，因为喜欢长款的，料子也可以，穿着挺舒服的，就希望不要太起球，按平时码买的，不过我觉得这款其实买小一码穿应该更好看。,2017-01-18 12:42:20,3,0
356060330,颜色分类:98A CHECK HOUNDSTOOTH红蓝犬牙花纹;尺码:155/76A/XS,j***1,295974580781,16号拍的，17号中午就到了！东西和实体店一样！158 105斤！加小非常合适,2016-12-17 14:48:20,2,1
356060330,颜色分类:98A CHECK HOUNDSTOOTH红蓝犬牙花纹;尺码:155/76A/XS,蹦***1,296371818232,还可以，买小了一码穿了刚好，挺厚的一件衣服,2016-12-19 16:58:12,4,1
356060330,颜色分类:98A CHECK HOUNDSTOOTH红蓝犬牙花纹;尺码:155/76A/XS,t***5,296278956266,宝贝收到后仔细检查了下没有瑕疵算运气好的吧！款式很漂亮在专柜试过才来买的非常满意！,2016-12-21 09:37:11,4,1
356060330,颜色分类:98A CHECK HOUNDSTOOTH红蓝犬牙花纹;尺码:165/84A/M,h***0,293476897233,<b></b>此<b></b>用<b></b>户<b></b>没<b></b>有<b></b>填<b></b>写<b></b>评<b></b>论<b></b>!<b></b>,2016-11-26 23:45:44,3,0
356060330,颜色分类:98A CHECK HOUNDSTOOTH红蓝犬牙花纹;尺码:160/80A/S,方***珠,298802929292,衣服是挺好看，但是质量真的一般，一摸就是那种会起球的那种，还好洗了下并不褪色，性价比不是很好，三分吧,2017-01-12 09:31:04,3,0
356060330,颜色分类:98A CHECK HOUNDSTOOTH红蓝犬牙花纹;尺码:160/80A/S,初***a,297492942189,虽然我个子不高，但是穿上真心美美哒,2016-12-30 23:50:55,0,1
356060330,颜色分类:98A CHECK HOUNDSTOOTH红蓝犬牙花纹;尺码:160/80A/S,y***6,296438120804,可以，再厚实点更好,2016-12-22 12:39:49,3,1
356060330,颜色分类:98A CHECK HOUNDSTOOTH红蓝犬牙花纹;尺码:165/84A/M,隐***海,296543717929,很漂亮的一件衣服在商场看到同款就很喜欢，赶上五折特卖，非常合适，这个是宽松款，穿起来稍微有一点肥。,2016-12-23 12:34:05,2,0
356060330,颜色分类:98A CHECK HOUNDSTOOTH红蓝犬牙花纹;尺码:175/92A/XL,z***f,293303689954,穿了三天，起球，现在做的没有以前质量好了，170，80KG，可以穿,2016-11-24 12:34:00,3,2
356060330,颜色分类:98A CHECK HOUNDSTOOTH红蓝犬牙花纹;尺码:165/84A/M,b***7,296208805221,刚出就想买，因为贵，终于打折了，还算划算吧,2016-12-19 20:20:08,3,1
356060330,颜色分类:98A CHECK HOUNDSTOOTH红蓝犬牙花纹;尺码:175/92A/XL,w***2,291610455032,跟only专卖店一样，今年新款一点儿折扣都没有，双十一买下来真是超值，在实体店买了一件羽绒服原价，现在觉得特别亏，看到这儿有，后悔死了，以后就在网上买了，哈哈哈,2016-11-12 21:20:52,1,1
356060330,颜色分类:98A CHECK HOUNDSTOOTH红蓝犬牙花纹;尺码:165/84A/M,邝***仔,299421660994,超级快，昨晚拍的今天就收到，跟图片无色差，厚实软棉，真的是宽松款！可以买小一个码,2017-01-15 21:29:18,3,0
356060330,颜色分类:98A CHECK HOUNDSTOOTH红蓝犬牙花纹;尺码:175/92A/XL,董***宁,297897941098,衣服还不错，就是我穿不出来那种宽松的感觉,2017-01-04 11:09:41,0,3
356060330,颜色分类:010 Black黑白提花;尺码:160/80A/S,d***3,298880567366,质地不错，不是纯化纤，单穿应该没问题，打底略长，在专柜试过，不会比红蓝那款差，红蓝那款穿不出摇滚范反而没意思,2017-01-12 14:22:48,0,0
356060330,颜色分类:98A CHECK HOUNDSTOOTH红蓝犬牙花纹;尺码:170/88A/L,注***了,295632146850,<b></b>此<b></b>用<b></b>户<b></b>没<b></b>有<b></b>填<b></b>写<b></b>评<b></b>论<b></b>!<b></b>,2016-12-12 12:19:06,3,0
356060330,颜色分类:98A CHECK HOUNDSTOOTH红蓝犬牙花纹;尺码:155/76A/XS,w***0,296328646094,质量和专柜的绝对不一样，薄，而且没有手感，左右便宜，凑合穿吧。,2016-12-22 07:32:39,4,0
356060330,颜色分类:98A CHECK HOUNDSTOOTH红蓝犬牙花纹;尺码:170/88A/L,s***y,296353317533,五折很划算，很满意，厚度正好！,2016-12-21 13:57:03,3,1
356060330,颜色分类:98A CHECK HOUNDSTOOTH红蓝犬牙花纹;尺码:155/76A/XS,s***8,295989567924,已经选了最小号还是肥大，170/104，上身偏瘦，给大家一个参考！不过还是很好看的！,2016-12-19 09:14:38,4,0
356060330,颜色分类:98A CHECK HOUNDSTOOTH红蓝犬牙花纹;尺码:160/80A/S,漂***z,299397398254,很喜欢的毛衣，就是冬天穿有点薄啊。穿了一阵子了，袖口确实起球，还可以接受吧，剃毛器试试,2017-01-18 17:38:06,0,0
356060330,颜色分类:98A CHECK HOUNDSTOOTH红蓝犬牙花纹;尺码:175/92A/XL,m***a,296182576276,拍大了一个码，懒得退了！不过穿上是真的很好看，显得皮肤好白,2016-12-17 18:11:39,3,1
356060330,颜色分类:98A CHECK HOUNDSTOOTH红蓝犬牙花纹;尺码:175/92A/XL,k***r,297181206474,一直喜欢这个品牌，各大商场都有专柜，不过这次真的不是一次愉快的购物体验，希望大品牌在售后上的服务应该高于售前服务,2016-12-26 22:03:58,4,0
356060330,颜色分类:98A CHECK HOUNDSTOOTH红蓝犬牙花纹;尺码:160/80A/S,q***4,296040577628,美美哒，价格也很美丽。,2016-12-18 12:59:14,2,0
356060330,颜色分类:98A CHECK HOUNDSTOOTH红蓝犬牙花纹;尺码:165/84A/M,b***h,297106101940,真的是过膝，个人觉得适合小个子，穿起来会更好看。属于宽松版，不要担心袖子，腰部。很宽松。,2016-12-28 18:45:13,4,0
356060330,颜色分类:98A CHECK HOUNDSTOOTH红蓝犬牙花纹;尺码:170/88A/L,h***亭,296754297166,一直喜欢这款 关注很久了 样式好看 上身也不错 就是质地一般 晴纶和棉的 要是有点毛就好了,2016-12-25 16:19:12,0,0
356060330,颜色分类:98A CHECK HOUNDSTOOTH红蓝犬牙花纹;尺码:175/92A/XL,c***6,299128281895,两个颜色都买了，不算特别显瘦但是颜色都是我喜欢的，比较满意，料子也不薄！有型！,2017-01-13 17:13:00,0,0
356060330,颜色分类:010 Black黑白提花;尺码:160/80A/S,翡***i,297841066766,质量不错，我165，但是还是买的长了，穿起来有点怪，可能很少穿长款的原因吧，衣服还是很舒服的，推荐大家购买。,2017-01-02 22:04:31,0,0
356060330,颜色分类:98A CHECK HOUNDSTOOTH红蓝犬牙花纹;尺码:155/76A/XS,t***6,298537783183,好大，已经是最小，100斤左右,2017-01-09 02:10:09,0,0
356060330,颜色分类:010 Black黑白提花;尺码:175/92A/XL,p***2,292645195968,大小合适也很柔软 就是显胖 瘦子适合的衣服啊,2016-11-21 15:28:09,4,0
356060330,颜色分类:98A CHECK HOUNDSTOOTH红蓝犬牙花纹;尺码:165/84A/M,寂***8,296953310079,真的不得不说这个物流真速度第一天下午买的第二天中午就收到了，料子不是很厚但是上身特别洋气，就是不知道是否起球，不过有个样子也值了,2016-12-26 09:04:16,2,0
356060330,颜色分类:98A CHECK HOUNDSTOOTH红蓝犬牙花纹;尺码:165/84A/M,t***佳,298315087147,5折购，同系列短款长款都收了，短款含羊毛比长款厚实，手感也硬些,2017-01-08 23:52:11,0,0
